Year,Study
1900,1
1926,1
1931,1
1932,1
1949,0
1951,1
1952,1
1955,3
1956,0
1959,0
1960,3
1962,2
1964,1
1965,1
1966,3
1967,4
1968,1
1969,1
1970,1
1971,2
1972,2
1973,4
1974,0
1975,1
1976,2
1977,7
1978,6
1979,6
1980,1
1981,6
1982,4
1983,6
1984,7
1985,13
1986,7
1987,8
1988,7
1989,6
1990,14
1991,13
1992,8
1993,5
1994,17
1995,6
1996,7
1997,7
1998,11
1999,12
2000,9
2001,10
2002,6
2003,13
2004,11
2005,6
2006,8
2007,11
2008,7
2009,7
2010,9
2011,16
2012,13
2013,4
2014,6
2015,11
2016,9
2017,11
2018,5
2019,7
2020,12
2021,6
2022,3
2023,3
2024,1
