Latitude,Longitude,Location of study,Value (non-ag),log Value (non-ag)
51.732589,-127.909591,Central Coast,9,0.954242509
53.389906,-131.086509,Haida Gwaii,4,0.602059991
50.965947,-120.785724,Interior BC,5,0.698970004
54.337267,-130.659407,North Coast,5,0.698970004
49.046583,-122.941393,Boundary Bay,51,1.707570176
49.304535,-123.192059,Burrard Inlet,29,1.462397998
49.320926,-123.145028,Capilano,12,1.079181246
49.294478,-123.119384,Coal Harbour,5,0.698970004
49.302025,-122.942152,Deep Cove,3,0.477121255
49.286672,-123.166474,English Bay,47,1.672097858
49.282462,-123.199987,Jericho Beach,13,1.113943352
49.284103,-123.219434,Spanish Bank,7,0.84509804
49.273597,-123.265167,UBC or Tower Beach,5,0.698970004
49.333182,-123.238663,West Vancouver,13,1.113943352
49.344898,-122.902017,Indian Arm,23,1.361727836
49.319339,-123.137713,Lions Gate WWTP,6,0.77815125
49.290347,-122.861777,Port Moody Arm,23,1.361727836
49.298465,-123.041524,Seymour River,2,0.301029996
49.305303,-123.131066,Stanley Park (Prospect Point included),18,1.255272505
49.292893,-123.080996,Vancouver Harbour,47,1.672097858
49.271785,-123.118161,False Creek,7,0.84509804
49.148549,-123.025906,Fraser River Estuary,9,0.954242509
49.15913,-122.971323,Annacis Island,6,0.77815125
49.202713,-122.695744,Barnston Island,2,0.301029996
49.072358,-123.137528,Canoe Pass,3,0.477121255
49.117566,-123.06273,Deas Slough,9,0.954242509
49.092446,-123.091525,Delta (City) or Ladner,10,1
49.220903,-122.790949,Douglas Island,1,0
49.153245,-123.004683,Fraser Delta at large,100,2
49.168196,-122.497738,Fraser River (Lower- Hope to Surrey),54,1.73239376
49.1006,-123.116254,Frenchies Island,1,0
49.173422,-122.918491,Gunderson Slough,1,0
49.261281,-121.929702,Harrison,3,0.477121255
49.219248,-123.217374,Iona,32,1.505149978
49.222096,-123.199009,Musqueam Creek,2,0.301029996
49.202292,-122.902632,New Westminster,3,0.477121255
49.201706,-123.033142,North Arm,12,1.079181246
49.364359,-122.589692,Pitt Lake,2,0.301029996
49.219726,-122.818804,Port Mann,3,0.477121255
49.191167,-122.957765,Queensbourgh Slough,3,0.477121255
49.181136,-123.145911,Richmond,7,0.84509804
49.050643,-123.142145,Roberts Bank,57,1.755874856
49.144184,-123.04306,South Arm,13,1.113943352
49.132251,-123.226399,Steveston Jetty Sand Heads,8,0.903089987
49.157374,-123.22212,Sturgeon Bank,27,1.431363764
49.013151,-123.107205,Tsawwassen,4,0.602059991
49.0894,-123.186714,Westham Island,9,0.954242509
49.103316,-123.144394,Woodward Island,2,0.301029996
49.439978,-123.300295,Howe Sound,48,1.681241237
49.366519,-123.321341,Bowen Island (W Coast),4,0.602059991
49.405195,-123.487249,Gibsons,2,0.301029996
49.666414,-123.214043,Squamish,8,0.903089987
49.489405,-123.460751,Thornbrough Channel,2,0.301029996
48.359906,-122.773964,Salish Sea,24,1.380211242
49.052345,-123.378936,Strait of Georgia,122,2.086359831
50.016901,-124.867785,Desolation Island,2,0.301029996
48.850546,-123.373588,Gulf Islands,14,1.146128036
49.550613,-124.713357,Hornby Island,3,0.477121255
49.454195,-123.82064,Sunshine Coast,5,0.698970004
49.675543,-125.560273,Vancouver Island,55,1.740362689
49.229703,-125.94174,Clayoquot Sound,3,0.477121255
48.535562,-123.226514,Haro Strait,9,0.954242509
49.236539,-123.864254,Nanaimo,14,1.146128036
49.366481,-124.439384,Qualicum,3,0.477121255
48.322834,-124.099847,Strait of Juan De Fuca,16,1.204119983
48.382104,-123.343673,Victoria,14,1.146128036
